Datetime,COMED_MW,FE_MW,DEOK_MW,PJMW_MW
2012-07-08,12999.875,8723.291666666666,4127.208333333333,6300.166666666667
2012-07-09,14567.333333333334,8991.958333333334,3886.0833333333335,6202.708333333333
2012-07-10,14103.833333333334,8999.25,3836.8333333333335,6037.5
2012-07-11,14267.541666666666,8882.5,3899.0833333333335,6011.75
2012-07-12,15073.458333333334,9390.958333333334,3893.6666666666665,6072.291666666667
2012-07-13,15394.833333333334,9457.166666666666,3700.4166666666665,5521.916666666667
2012-07-14,14133.958333333334,8003.291666666667,3355.8333333333335,5250.541666666667
2012-07-15,14570.875,8519.75,3396.875,5530.5
2012-07-16,17712.458333333332,10318.916666666666,4130.208333333333,6408.583333333333
2012-07-17,19144.208333333332,11117.125,4427.125,6778.583333333333
2012-07-18,18027.833333333332,10968.333333333334,4085.375,6636.625
2012-07-19,15444.916666666666,9518.333333333334,3675.0,6209.166666666667
2012-07-20,14142.958333333334,8288.458333333334,3497.0416666666665,5549.625
2012-07-21,13449.708333333334,7536.041666666667,3161.2916666666665,4742.083333333333
2012-07-22,13584.833333333334,8297.25,3428.75,5051.75
2012-07-23,17446.458333333332,10267.541666666666,4136.166666666667,6037.333333333333
2012-07-24,15994.5,10253.958333333334,4026.1666666666665,6359.166666666667
2012-07-25,16788.291666666668,9186.75,4139.791666666667,5908.041666666667
2012-07-26,16607.5,10294.291666666666,4391.291666666667,6453.708333333333
2012-07-27,14453.625,9544.166666666666,3947.9166666666665,6106.75
2012-07-28,12936.541666666666,7817.583333333333,3188.1666666666665,5417.0
2012-07-29,12154.375,7555.125,3211.0833333333335,5338.208333333333
2012-07-30,15742.583333333334,9076.375,3725.3333333333335,5972.875
2012-07-31,15989.791666666666,9665.25,3841.25,6064.291666666667
2012-08-01,15465.0,9597.208333333334,3997.4166666666665,5987.708333333333
2012-08-02,15876.458333333334,9370.208333333334,4007.625,6272.583333333333
2012-08-03,16571.625,10068.375,3846.875,6334.75
2012-08-04,15118.125,9557.416666666666,3839.4583333333335,6113.125
2012-08-05,12536.5,8492.5,3685.25,5689.125
2012-08-06,13786.833333333334,8817.458333333334,3660.875,6172.041666666667
2012-08-07,15094.458333333334,8942.916666666666,3752.4166666666665,6066.666666666667
2012-08-08,14874.625,9420.75,4098.708333333333,6278.875
2012-08-09,12762.041666666666,8855.041666666666,3823.4583333333335,6254.041666666667
2012-08-10,11624.208333333334,8028.791666666667,3238.25,5830.666666666667
2012-08-11,10413.708333333334,6542.291666666667,2716.5833333333335,5003.416666666667
2012-08-12,9859.0,6609.75,2794.125,4878.583333333333
2012-08-13,11303.291666666666,8069.333333333333,3241.9583333333335,5600.041666666667
2012-08-14,12071.708333333334,8061.583333333333,3274.5416666666665,5806.5
2012-08-15,13204.708333333334,8240.5,3449.4583333333335,5671.25
2012-08-16,12729.416666666666,8599.458333333334,3569.5833333333335,5751.291666666667
2012-08-17,11463.666666666666,8270.583333333334,3360.4583333333335,5446.25
2012-08-18,10285.875,6815.541666666667,2888.625,4937.041666666667
2012-08-19,9983.916666666666,6409.791666666667,2832.6666666666665,4536.541666666667
2012-08-20,11534.375,7614.625,3082.0833333333335,5278.708333333333
2012-08-21,11814.375,7686.375,3147.5,5290.375
2012-08-22,12401.625,7927.416666666667,3239.5833333333335,5493.041666666667
2012-08-23,13981.666666666666,8358.083333333334,3411.4166666666665,5637.708333333333
2012-08-24,15204.041666666666,8795.75,3579.0,5690.166666666667
2012-08-25,14434.041666666666,8403.208333333334,3530.375,5197.25
2012-08-26,12146.0,8070.333333333333,3516.6666666666665,5034.083333333333
2012-08-27,14065.916666666666,8619.875,3738.0833333333335,5941.583333333333
2012-08-28,13945.708333333334,8764.791666666666,3655.2916666666665,6173.416666666667
2012-08-29,14002.083333333334,8126.5,3525.75,5635.208333333333
2012-08-30,14905.958333333334,8186.041666666667,3504.9166666666665,5576.583333333333
2012-08-31,15610.458333333334,9003.583333333334,3746.1666666666665,5851.541666666667
2012-09-01,12183.75,8239.083333333334,3623.3333333333335,5609.916666666667
2012-09-02,11955.333333333334,7390.625,3304.75,5163.041666666667
2012-09-03,13361.375,7993.708333333333,3065.7916666666665,5400.916666666667
2012-09-04,15763.708333333334,8850.291666666666,3660.125,6098.541666666667
2012-09-05,14164.333333333334,8962.333333333334,3731.7083333333335,6422.583333333333
2012-09-06,14458.125,9271.958333333334,3538.0416666666665,6328.333333333333
2012-09-07,12764.666666666666,8704.125,3692.875,6168.25
2012-09-08,10041.25,6917.333333333333,2889.125,5021.916666666667
2012-09-09,9352.208333333334,6162.125,2575.5833333333335,4360.083333333333
2012-09-10,11019.208333333334,7234.791666666667,2886.4583333333335,4760.958333333333
2012-09-11,11881.833333333334,7445.708333333333,2919.875,4892.333333333333
2012-09-12,12977.0,7771.083333333333,3051.5833333333335,5077.708333333333
2012-09-13,11693.875,8119.041666666667,3307.9166666666665,5204.25
2012-09-14,10871.0,7538.5,2938.7916666666665,5167.708333333333
